,UserID,Condition,Value
21,5e373610de69fe6b9a09bc4f,DP Ph2 Low Reward,2.2673513253215254
22,5e373610de69fe6b9a09bc4f,DP Ph3 High Reward,2.7494552762948796
23,5e373610de69fe6b9a09bc4f,DP Ph3 Low Reward,2.2673513253215254
24,5e373610de69fe6b9a09bc4f,PHQ Score,1
25,5e373610de69fe6b9a09bc4f,PHQ Attention Check,1
26,5e373610de69fe6b9a09bc4f,Memory Test RT,1856.2807407383566
27,5e373610de69fe6b9a09bc4f,Rewarded Category,Object
0,60cf27d91a67205d3476f10b,Age,31
1,60cf27d91a67205d3476f10b,Sex,SexMale
2,60cf27d91a67205d3476f10b,Overall Match Accuracy,0.4895833333333333
3,60cf27d91a67205d3476f10b,Overall Match RT,2322.0536842270903
4,60cf27d91a67205d3476f10b,CR Overall,0.6161483253588517
5,60cf27d91a67205d3476f10b,HR Overall,0.6477272727272727
6,60cf27d91a67205d3476f10b,FA Overall,0.031578947368421054
7,60cf27d91a67205d3476f10b,CR Overall High Reward,0.5043520309477757
8,60cf27d91a67205d3476f10b,CR Overall Low Reward,0.7272727272727273
9,60cf27d91a67205d3476f10b,CR Ph1 High Reward,0.6028368794326241
10,60cf27d91a67205d3476f10b,CR Ph1 Low Reward,0.6428571428571429
11,60cf27d91a67205d3476f10b,CR Ph2 High Reward,0.5361702127659574
12,60cf27d91a67205d3476f10b,CR Ph2 Low Reward,0.8
13,60cf27d91a67205d3476f10b,CR Ph3 High Reward,0.364741641337386
14,60cf27d91a67205d3476f10b,CR Ph3 Low Reward,0.7333333333333333
15,60cf27d91a67205d3476f10b,DP Overall,2.9190016957284324
16,60cf27d91a67205d3476f10b,DP Overall High Reward,2.36679899669968
17,60cf27d91a67205d3476f10b,DP Overall Low Reward,3.665561402483706
18,60cf27d91a67205d3476f10b,DP Ph1 High Reward,2.628128901193389
19,60cf27d91a67205d3476f10b,DP Ph1 Low Reward,3.402880796209046
20,60cf27d91a67205d3476f10b,DP Ph2 High Reward,2.448791478374908
21,60cf27d91a67205d3476f10b,DP Ph2 Low Reward,3.932868862511561
22,60cf27d91a67205d3476f10b,DP Ph3 High Reward,2.0144192001390757
23,60cf27d91a67205d3476f10b,DP Ph3 Low Reward,3.6860273938111656
24,60cf27d91a67205d3476f10b,PHQ Score,0
25,60cf27d91a67205d3476f10b,PHQ Attention Check,1
26,60cf27d91a67205d3476f10b,Memory Test RT,1867.7278688553251
27,60cf27d91a67205d3476f10b,Rewarded Category,Animal
0,60575f42c2d3d51a122da250,Age,21
1,60575f42c2d3d51a122da250,Sex,SexMale
