UserID,Category,Phase,Condition,CR,DP,MatchAcc,RT
5c58bb2ce9813700018b0b88,Animal,Ph1,Rew,0.3425925925925926,1.9059147763154112,0.9333333333333333,509.68571431296215
5c58bb2ce9813700018b0b88,Object,Ph1,Unrew,0.6904761904761905,2.857218345367344,0.8333333333333334,492.9884615769753
5c58bb2ce9813700018b0b88,Animal,Ph2,Rew,0.6077441077441077,2.5923631289608844,0.9,432.1607142686844
5c58bb2ce9813700018b0b88,Object,Ph2,Unrew,0.8251231527093597,3.4409476356029787,0.9333333333333333,445.96785715648105
5eb126c5f13db7000855c7b7,Object,Ph1,Rew,0.7851458885941645,3.2123729306043094,0.8666666666666667,460.0769230769231
5eb126c5f13db7000855c7b7,Animal,Ph1,Unrew,0.6600529100529101,3.2480317805804138,0.8333333333333334,454.47407407399817
5eb126c5f13db7000855c7b7,Object,Ph2,Rew,0.9230769230769231,4.61440428111282,0.9666666666666667,445.1482758619662
5eb126c5f13db7000855c7b7,Animal,Ph2,Unrew,0.8481481481481482,3.9650132607582673,0.9333333333333333,484.2500000000665
615b0d3dd95cc4ea99feedc2,Animal,Ph1,Rew,0.30718954248366015,1.4942390110173864,0.9333333333333333,389.1241379113033
615b0d3dd95cc4ea99feedc2,Object,Ph1,Unrew,0.609090909090909,2.532321920241793,0.9666666666666667,402.81666666666666
615b0d3dd95cc4ea99feedc2,Animal,Ph2,Rew,0.5902777777777778,2.3233926440188855,0.9666666666666667,391.3482757436818
615b0d3dd95cc4ea99feedc2,Object,Ph2,Unrew,0.5757575757575757,2.437885977660164,0.9666666666666667,409.6689655040872
6081aa9dda5d04bf29e19e7e,Object,Ph1,Rew,0.02786377708978327,0.4414355562629321,0.8,444.75925923276833
6081aa9dda5d04bf29e19e7e,Animal,Ph1,Unrew,-0.1692307692307693,-1.0856524373454366,0.7666666666666667,442.6159999752045
6081aa9dda5d04bf29e19e7e,Object,Ph2,Rew,0.07565789473684215,0.7649155768468675,0.9,406.2034482627079
6081aa9dda5d04bf29e19e7e,Animal,Ph2,Unrew,-0.3406593406593407,-1.5771505382380688,0.9666666666666667,381.7399999698003
5aeaee620ef2f20001859359,Object,Ph1,Rew,0.21428571428571427,2.206102729152394,0.8,389.17407407804774
5aeaee620ef2f20001859359,Animal,Ph1,Unrew,0.8258928571428571,3.664858123922864,1.0,408.136666671435
5aeaee620ef2f20001859359,Object,Ph2,Rew,0.6666666666666666,3.4734243892848595,1.0,366.5966666698456
5aeaee620ef2f20001859359,Animal,Ph2,Unrew,0.8383152173913043,3.728321345552159,0.8333333333333334,373.039999995629
5f0b062853f8960008793934,Object,Ph1,Rew,0.8974025974025974,4.049533844067424,1.0,417.84000000953677
5f0b062853f8960008793934,Animal,Ph1,Unrew,0.6323529411764706,2.53408329842949,0.9333333333333333,433.0517241790377
5f0b062853f8960008793934,Object,Ph2,Rew,0.7428571428571429,3.1114897796449075,0.9666666666666667,359.29000000953675
5f0b062853f8960008793934,Animal,Ph2,Unrew,0.826797385620915,3.498619341299752,0.9666666666666667,382.5199999888738
5c5b50e8fbf35700018c8dde,Object,Ph1,Rew,0.9523809523809523,4.903902548729367,0.9333333333333333,450.10714285714704
5c5b50e8fbf35700018c8dde,Animal,Ph1,Unrew,0.8296296296296296,3.803916744835146,0.8,447.7307692307737
5c5b50e8fbf35700018c8dde,Object,Ph2,Rew,0.9523809523809523,4.903902548729367,0.9666666666666667,388.9000000000194
5c5b50e8fbf35700018c8dde,Animal,Ph2,Unrew,0.8977777777777778,4.217400113336338,0.8333333333333334,384.68965517239775
61670855a4865f370849daf6,Animal,Ph1,Rew,0.7835337650323775,3.368292972946205,0.9,449.6275850493332
61670855a4865f370849daf6,Object,Ph1,Unrew,0.9349999999999999,4.564827800929024,0.8333333333333334,455.1760003662109
61670855a4865f370849daf6,Animal,Ph2,Rew,0.9098277608915907,4.188624506013244,0.9333333333333333,422.6
61670855a4865f370849daf6,Object,Ph2,Unrew,0.9365384615384615,4.586340999884658,0.9333333333333333,412.02068828714306
