UserID,Condition,Value
615b0d3dd95cc4ea99feedc2,End Survey,"{""Q0"":""fairly suprised"",""Q1"":""i just went with my instinct,some images felt more recognisable than others "",""Q2"":""4""}"
6081aa9dda5d04bf29e19e7e,Overall PC,0.5296610169491526
6081aa9dda5d04bf29e19e7e,Bonus,5.25
6081aa9dda5d04bf29e19e7e,Rew Match Accuracy,0.9
6081aa9dda5d04bf29e19e7e,Unrew Match Accuracy,0.9666666666666667
6081aa9dda5d04bf29e19e7e,CR Overall,0.05932203389830515
6081aa9dda5d04bf29e19e7e,CR Overall Rew,0.03389830508474578
6081aa9dda5d04bf29e19e7e,CR Overall Unrew,0.0847457627118644
6081aa9dda5d04bf29e19e7e,CR Ph1 Rew,0.02203389830508473
6081aa9dda5d04bf29e19e7e,CR Ph1 Unrew,-0.007013442431326733
6081aa9dda5d04bf29e19e7e,CR Ph2 Rew,0.04617182933956754
6081aa9dda5d04bf29e19e7e,CR Ph2 Unrew,0.1734463276836159
6081aa9dda5d04bf29e19e7e,DP Overall,0.6069178387920675
6081aa9dda5d04bf29e19e7e,DP Overall Rew,0.4638416960864086
6081aa9dda5d04bf29e19e7e,DP Overall Unrew,0.7201288622439593
6081aa9dda5d04bf29e19e7e,DP Ph1 Rew,0.3707726917793772
6081aa9dda5d04bf29e19e7e,DP Ph1 Unrew,-0.19831441471388045
6081aa9dda5d04bf29e19e7e,DP Ph2 Rew,0.5463602396291588
6081aa9dda5d04bf29e19e7e,DP Ph2 Unrew,1.0970588000749355
6081aa9dda5d04bf29e19e7e,Memory Test RT,2820.9995762756316
6081aa9dda5d04bf29e19e7e,Memory Certainty Count,"0.0     28
12.0    42
24.0    87
48.0    53
60.0    23
72.0     3
Name: response, dtype: int64"
6081aa9dda5d04bf29e19e7e,Memory Certainty Count Correct,"0.0     17
12.0    15
24.0    50
48.0    30
60.0    11
72.0     2
Name: response, dtype: int64"
6081aa9dda5d04bf29e19e7e,Rewarded Category,Object
6081aa9dda5d04bf29e19e7e,End Survey,"{""Q0"":""very"",""Q1"":""tried to remember"",""Q2"":""1""}"
5aeaee620ef2f20001859359,Overall PC,0.7541666666666667
5aeaee620ef2f20001859359,Bonus,5
5aeaee620ef2f20001859359,Rew Match Accuracy,1.0
5aeaee620ef2f20001859359,Unrew Match Accuracy,0.8333333333333334
5aeaee620ef2f20001859359,CR Overall,0.5083333333333333
5aeaee620ef2f20001859359,CR Overall Rew,0.33333333333333337
5aeaee620ef2f20001859359,CR Overall Unrew,0.6833333333333333
5aeaee620ef2f20001859359,CR Ph1 Rew,0.19999999999999998
5aeaee620ef2f20001859359,CR Ph1 Unrew,0.65
5aeaee620ef2f20001859359,CR Ph2 Rew,0.4666666666666667
5aeaee620ef2f20001859359,CR Ph2 Unrew,0.7166666666666667
5aeaee620ef2f20001859359,DP Overall,2.1624064057576327
5aeaee620ef2f20001859359,DP Overall Rew,1.781904593786556
5aeaee620ef2f20001859359,DP Overall Unrew,2.6787583537892585
5aeaee620ef2f20001859359,DP Ph1 Rew,1.4057404483245692
5aeaee620ef2f20001859359,DP Ph1 Unrew,2.5510025105394916
5aeaee620ef2f20001859359,DP Ph2 Rew,2.1207645683542657
