,UserID,Rew_Subgroup,Category,Phase,Reward_Category,CR,DP,MA,RT,RB,HR,FA
0,616d3d8ea3b54a59c9a25972,Reward_Objects,Object,Ph1,High Reward,0.45000000000000007,1.8748224997168839,0.9,374.97142856993844,-0.1254364311961004,0.7666666666666667,0.31666666666666665
1,616d3d8ea3b54a59c9a25972,Reward_Objects,Animal,Ph1,Low Reward,0.31666666666666665,1.5627760250256715,0.9333333333333333,377.74827586268555,0.4513673958219324,0.5,0.18333333333333332
2,616d3d8ea3b54a59c9a25972,Reward_Objects,Object,Ph2,High Reward,0.21666666666666667,1.180902004863657,0.9333333333333333,395.05714285799434,0.19669434729115723,0.5333333333333333,0.31666666666666665
3,616d3d8ea3b54a59c9a25972,Reward_Objects,Animal,Ph2,Low Reward,0.2833333333333333,1.4733014304346508,0.9,390.92068965630284,0.49319326277549697,0.4666666666666667,0.18333333333333332
0,61689dd9b5677bf2b1eae758,Reward_Animals,Animal,Ph1,High Reward,0.5919540229885057,2.3408724689999456,0.9,396.06428570832526,0.1327744853398704,0.7586206896551724,0.16666666666666666
1,61689dd9b5677bf2b1eae758,Reward_Animals,Object,Ph1,Low Reward,0.65,2.5510025105394916,0.9333333333333333,399.41379311166963,0.09740607796043776,0.8,0.15
2,61689dd9b5677bf2b1eae758,Reward_Animals,Animal,Ph2,High Reward,0.5,2.069372240107848,0.7,442.5458333392938,0.2683471334031218,0.6666666666666666,0.16666666666666666
3,61689dd9b5677bf2b1eae758,Reward_Animals,Object,Ph2,Low Reward,0.35,1.702533354943902,0.6333333333333333,439.3583333392938,0.5182166947468949,0.5,0.15
0,616a1d5d62aca16697a19692,Reward_Animals,Animal,Ph1,High Reward,0.4,1.8040270253722046,0.9,380.98275862068965,0.3997637806567978,0.5666666666666667,0.16666666666666666
1,616a1d5d62aca16697a19692,Reward_Animals,Object,Ph1,Low Reward,0.6305084745762712,2.469990944969638,0.9,349.4866666669647,0.05727765267357393,0.8,0.1694915254237288
2,616a1d5d62aca16697a19692,Reward_Animals,Animal,Ph2,High Reward,0.4,1.8040270253722046,0.9666666666666667,408.8066666657726,0.3997637806567978,0.5666666666666667,0.16666666666666666
3,616a1d5d62aca16697a19692,Reward_Animals,Object,Ph2,Low Reward,0.6305084745762712,2.469990944969638,0.7666666666666667,396.64800000041726,0.05727765267357393,0.8,0.1694915254237288
0,60dcdae92191e4a910e4f4f2,Reward_Animals,Animal,Ph1,High Reward,0.5785310734463277,2.3411903688111293,0.9,405.91379310139297,-0.2759660029200049,0.8666666666666667,0.288135593220339
1,60dcdae92191e4a910e4f4f2,Reward_Animals,Object,Ph1,Low Reward,0.65,2.5510025105394916,0.9333333333333333,384.1620689640785,0.09740607796043776,0.8,0.15
2,60dcdae92191e4a910e4f4f2,Reward_Animals,Animal,Ph2,High Reward,0.5049678550555231,2.047236886967904,0.8666666666666667,431.4785714319774,-0.1291986056163123,0.7931034482758621,0.288135593220339
3,60dcdae92191e4a910e4f4f2,Reward_Animals,Object,Ph2,Low Reward,0.35,1.702533354943902,0.7666666666666667,412.89600000143054,0.5182166947468949,0.5,0.15
0,5f4c91ba4739668bccaa0d13,Reward_Animals,Animal,Ph1,High Reward,0.65,2.5510025105394916,0.9666666666666667,423.8,0.09740607796043776,0.8,0.15
1,5f4c91ba4739668bccaa0d13,Reward_Animals,Object,Ph1,Low Reward,0.4666666666666667,2.2561714053470747,0.9333333333333333,450.1034482758621,0.708717106068448,0.5333333333333333,0.06666666666666667
