,UserID,Condition,Value
20,60e4cdbba3fd4ba23eb551d6,DP Ph2 High Reward,1.8901539436115318
21,60e4cdbba3fd4ba23eb551d6,DP Ph2 Low Reward,2.14722868512558
22,60e4cdbba3fd4ba23eb551d6,PHQ Score,0
23,60e4cdbba3fd4ba23eb551d6,PHQ Attention Check,1
24,60e4cdbba3fd4ba23eb551d6,Memory Test RT,3066.325842694955
25,60e4cdbba3fd4ba23eb551d6,Memory Certainty Count,"      response
0.0         58
12.0        24
60.0        55
72.0        41"
26,60e4cdbba3fd4ba23eb551d6,Memory Certainty Correct Count,"      response
0.0         55
12.0        15
60.0        40
72.0        31"
27,60e4cdbba3fd4ba23eb551d6,Rewarded Category,Animal
28,60e4cdbba3fd4ba23eb551d6,End Survey,"{""Q0"":""very "",""Q1"":""i didn't have a strategy "",""Q2"":""2""}"
29,60e4cdbba3fd4ba23eb551d6,End Survey2,"{""Q0"":""yes"",""Q1"":""animals ""}"
0,5e4ec34db69e4e0732e474cc,Overall PC,0.7104072398190046
1,5e4ec34db69e4e0732e474cc,Age,31
2,5e4ec34db69e4e0732e474cc,Sex,SexFemale
3,5e4ec34db69e4e0732e474cc,Bonus,5
4,5e4ec34db69e4e0732e474cc,Overall Match Accuracy,0.8416666666666667
5,5e4ec34db69e4e0732e474cc,Overall Match RT,454.73148148148124
6,5e4ec34db69e4e0732e474cc,CR Overall,0.40287120590648073
7,5e4ec34db69e4e0732e474cc,HR Overall,0.4811320754716981
8,5e4ec34db69e4e0732e474cc,FA Overall,0.0782608695652174
9,5e4ec34db69e4e0732e474cc,CR Overall High Reward,0.5656498673740052
10,5e4ec34db69e4e0732e474cc,CR Overall Low Reward,0.24561403508771928
11,5e4ec34db69e4e0732e474cc,CR Ph1 High Reward,0.6618037135278514
12,5e4ec34db69e4e0732e474cc,CR Ph1 Low Reward,0.16228070175438597
13,5e4ec34db69e4e0732e474cc,CR Ph2 High Reward,0.4694960212201591
14,5e4ec34db69e4e0732e474cc,CR Ph2 Low Reward,0.33535762483130904
15,5e4ec34db69e4e0732e474cc,DP Overall,2.0406934826078573
16,5e4ec34db69e4e0732e474cc,DP Overall High Reward,2.500077080941942
17,5e4ec34db69e4e0732e474cc,DP Overall Low Reward,1.5854625318616633
18,5e4ec34db69e4e0732e474cc,DP Ph1 High Reward,2.775807308106583
19,5e4ec34db69e4e0732e474cc,DP Ph1 Low Reward,1.3201296335878632
20,5e4ec34db69e4e0732e474cc,DP Ph2 High Reward,2.2515276407715796
21,5e4ec34db69e4e0732e474cc,DP Ph2 Low Reward,1.8300987314693224
22,5e4ec34db69e4e0732e474cc,PHQ Score,0
23,5e4ec34db69e4e0732e474cc,PHQ Attention Check,1
24,5e4ec34db69e4e0732e474cc,Memory Test RT,2581.212669683258
25,5e4ec34db69e4e0732e474cc,Memory Certainty Count,"      response
0.0         42
12.0        18
60.0        16
72.0       145"
26,5e4ec34db69e4e0732e474cc,Memory Certainty Correct Count,"      response
0.0         40
12.0        11
60.0         7
72.0        99"
27,5e4ec34db69e4e0732e474cc,Rewarded Category,Animal
28,5e4ec34db69e4e0732e474cc,End Survey,"{""Q0"":""Very"",""Q1"":""None - just if I recognised them"",""Q2"":""5""}"
29,5e4ec34db69e4e0732e474cc,End Survey2,"{""Q0"":""yes"",""Q1"":""yes""}"
0,6171221efda127e0d1b31860,Overall PC,0.7167630057803468
1,6171221efda127e0d1b31860,Age,28
2,6171221efda127e0d1b31860,Sex,SexFemale
3,6171221efda127e0d1b31860,Bonus,0.25
4,6171221efda127e0d1b31860,Overall Match Accuracy,0.825
5,6171221efda127e0d1b31860,Overall Match RT,481.2028571719215
6,6171221efda127e0d1b31860,CR Overall,0.4253246753246753
7,6171221efda127e0d1b31860,HR Overall,0.75
8,6171221efda127e0d1b31860,FA Overall,0.3246753246753247
9,6171221efda127e0d1b31860,CR Overall High Reward,0.5324675324675325
10,6171221efda127e0d1b31860,CR Overall Low Reward,0.2720825274016764
11,6171221efda127e0d1b31860,CR Ph1 High Reward,0.548951048951049
12,6171221efda127e0d1b31860,CR Ph1 Low Reward,0.4015151515151515
13,6171221efda127e0d1b31860,CR Ph2 High Reward,0.5138339920948616
14,6171221efda127e0d1b31860,CR Ph2 Low Reward,0.13702239789196313
15,6171221efda127e0d1b31860,DP Overall,1.7977390638185047
16,6171221efda127e0d1b31860,DP Overall High Reward,2.1457540916375266
17,6171221efda127e0d1b31860,DP Overall Low Reward,1.407635615854823
18,6171221efda127e0d1b31860,DP Ph1 High Reward,2.194984891128167
19,6171221efda127e0d1b31860,DP Ph1 Low Reward,2.0160482265004114
20,6171221efda127e0d1b31860,DP Ph2 High Reward,2.091666448466292
21,6171221efda127e0d1b31860,DP Ph2 Low Reward,0.913877716277597
22,6171221efda127e0d1b31860,PHQ Score,3
23,6171221efda127e0d1b31860,PHQ Attention Check,1
24,6171221efda127e0d1b31860,Memory Test RT,2452.582080945803
25,6171221efda127e0d1b31860,Memory Certainty Count,"      response
0.0         55
12.0        42
60.0        48
72.0        28"
26,6171221efda127e0d1b31860,Memory Certainty Correct Count,"      response
0.0         50
12.0        22
60.0        27
72.0        25"
27,6171221efda127e0d1b31860,Rewarded Category,Object
28,6171221efda127e0d1b31860,End Survey,"{""Q0"":""Very"",""Q1"":""No strategy, the ones that stuck out were instantly recognisable, the others were very similar or similar types were repeated"",""Q2"":""4""}"
29,6171221efda127e0d1b31860,End Survey2,"{""Q0"":""Yes"",""Q1"":""Objects""}"
0,60b0fb825f5eb216ab3c03b1,Overall PC,0.7844311377245509
1,60b0fb825f5eb216ab3c03b1,Age,35
2,60b0fb825f5eb216ab3c03b1,Sex,SexMale
3,60b0fb825f5eb216ab3c03b1,Bonus,5.25
4,60b0fb825f5eb216ab3c03b1,Overall Match Accuracy,0.9416666666666667
5,60b0fb825f5eb216ab3c03b1,Overall Match RT,469.51913043727046
6,60b0fb825f5eb216ab3c03b1,CR Overall,0.5774891774891775
7,60b0fb825f5eb216ab3c03b1,HR Overall,0.7333333333333333
8,60b0fb825f5eb216ab3c03b1,FA Overall,0.15584415584415584
9,60b0fb825f5eb216ab3c03b1,CR Overall High Reward,0.5596432552954291
10,60b0fb825f5eb216ab3c03b1,CR Overall Low Reward,0.5956937799043063
11,60b0fb825f5eb216ab3c03b1,CR Ph1 High Reward,0.5023310023310023
12,60b0fb825f5eb216ab3c03b1,CR Ph1 Low Reward,0.6303258145363408
13,60b0fb825f5eb216ab3c03b1,CR Ph2 High Reward,0.6121794871794871
14,60b0fb825f5eb216ab3c03b1,CR Ph2 Low Reward,0.5640732265446224
15,60b0fb825f5eb216ab3c03b1,DP Overall,2.3061135509445547
16,60b0fb825f5eb216ab3c03b1,DP Overall High Reward,2.229398280397132
17,60b0fb825f5eb216ab3c03b1,DP Overall Low Reward,2.395308080124475
18,60b0fb825f5eb216ab3c03b1,DP Ph1 High Reward,2.0613125588562893
19,60b0fb825f5eb216ab3c03b1,DP Ph1 Low Reward,2.5038697455118633
20,60b0fb825f5eb216ab3c03b1,DP Ph2 High Reward,2.401329845311344
21,60b0fb825f5eb216ab3c03b1,DP Ph2 Low Reward,2.3023900552045387
22,60b0fb825f5eb216ab3c03b1,PHQ Score,0
23,60b0fb825f5eb216ab3c03b1,PHQ Attention Check,1
24,60b0fb825f5eb216ab3c03b1,Memory Test RT,2876.3323353294304
25,60b0fb825f5eb216ab3c03b1,Memory Certainty Count,"      response
0.0         41
12.0        37
60.0        59
72.0        30"
26,60b0fb825f5eb216ab3c03b1,Memory Certainty Correct Count,"      response
0.0         37
12.0        29
60.0        42
72.0        23"
27,60b0fb825f5eb216ab3c03b1,Rewarded Category,Object
28,60b0fb825f5eb216ab3c03b1,End Survey,"{""Q0"":""Not surprised, however it was very long with no progress bar to show when it would finish."",""Q1"":""Did I see it yesterday? Yes! Ok, it's old."",""Q2"":""4""}"
29,60b0fb825f5eb216ab3c03b1,End Survey2,"{""Q0"":""Yes"",""Q1"":""No, I didn't notice that yesterday""}"
0,613a3d80394f1c5656a334a5,Overall PC,0.7292817679558011
1,613a3d80394f1c5656a334a5,Age,22
2,613a3d80394f1c5656a334a5,Sex,SexFemale
3,613a3d80394f1c5656a334a5,Bonus,5
4,613a3d80394f1c5656a334a5,Overall Match Accuracy,0.875
5,613a3d80394f1c5656a334a5,Overall Match RT,438.53796296296434
6,613a3d80394f1c5656a334a5,CR Overall,0.4560117302052785
7,613a3d80394f1c5656a334a5,HR Overall,0.6818181818181818
8,613a3d80394f1c5656a334a5,FA Overall,0.22580645161290322
9,613a3d80394f1c5656a334a5,CR Overall High Reward,0.48129251700680276
10,613a3d80394f1c5656a334a5,CR Overall Low Reward,0.4363636363636364
11,613a3d80394f1c5656a334a5,CR Ph1 High Reward,0.5902668759811617
12,613a3d80394f1c5656a334a5,CR Ph1 Low Reward,0.5837320574162679
13,613a3d80394f1c5656a334a5,CR Ph2 High Reward,0.3525046382189239
14,613a3d80394f1c5656a334a5,CR Ph2 Low Reward,0.303030303030303
