UserID,Category,Phase,Condition,CR,DP,MatchAcc,RT
5ef4fadcdff5d41398f96960,Animal,Ph1,Rew,0.7666666666666667,3.1620413449589653,1.0,458.04666666587195
5ef4fadcdff5d41398f96960,Object,Ph1,Unrew,0.7666666666666667,3.0813615633194096,0.8666666666666667,460.822222215158
5ef4fadcdff5d41398f96960,Animal,Ph2,Rew,0.7666666666666667,3.1620413449589653,0.8666666666666667,433.65185183507424
5ef4fadcdff5d41398f96960,Object,Ph2,Unrew,0.6666666666666667,2.684480629554784,0.9666666666666667,428.21034480374436
60e4cdbba3fd4ba23eb551d6,Animal,Ph1,Rew,0.55,2.211786489105745,0.9,451.18275862110073
60e4cdbba3fd4ba23eb551d6,Object,Ph1,Unrew,0.7,2.8009906459885636,0.9,446.27037037081186
60e4cdbba3fd4ba23eb551d6,Animal,Ph2,Rew,0.3833333333333333,1.668617153780294,0.8333333333333334,444.6600000011921
60e4cdbba3fd4ba23eb551d6,Object,Ph2,Unrew,0.4666666666666666,1.9429380260672788,0.8666666666666667,459.29259259502095
6171221efda127e0d1b31860,Object,Ph1,Rew,0.44999999999999996,1.8686765855107645,0.8,481.3320000267029
6171221efda127e0d1b31860,Animal,Ph1,Unrew,0.31666666666666665,1.5869651358723396,0.9666666666666667,468.1233333587646
6171221efda127e0d1b31860,Object,Ph2,Rew,0.41666666666666663,1.773268001778546,0.8,488.0800000190735
6171221efda127e0d1b31860,Animal,Ph2,Unrew,0.08333333333333326,0.6952267953432621,0.7333333333333333,489.89200004577634
60b0fb825f5eb216ab3c03b1,Object,Ph1,Rew,0.49425287356321834,2.0465551523871612,0.9666666666666667,469.5689655254627
60b0fb825f5eb216ab3c03b1,Animal,Ph1,Unrew,0.6,2.4782069617971034,0.9666666666666667,472.0586206830781
60b0fb825f5eb216ab3c03b1,Object,Ph2,Rew,0.5942528735632184,2.3441699702517753,0.9,463.4740740767232
60b0fb825f5eb216ab3c03b1,Animal,Ph2,Unrew,0.5666666666666667,2.383996840120534,0.9333333333333333,472.45666667222974
61685b23ddfc82e5d52b8c6e,Object,Ph1,Rew,0.5499999999999999,2.5713937992859552,0.8666666666666667,455.6142857117312
61685b23ddfc82e5d52b8c6e,Animal,Ph1,Unrew,0.6141242937853107,2.425413818782854,0.8666666666666667,447.799999998166
61685b23ddfc82e5d52b8c6e,Object,Ph2,Rew,0.6833333333333332,2.950761019631831,0.7333333333333333,460.2692307692308
61685b23ddfc82e5d52b8c6e,Animal,Ph2,Unrew,0.5141242937853107,2.127645312099922,0.8,446.1884615192047
6155a3245b822b1157793049,Animal,Ph1,Rew,0.3666666666666667,1.7789525856497874,0.8,414.1730769230769
6155a3245b822b1157793049,Object,Ph1,Unrew,0.49999999999999994,2.0219065464135335,0.8333333333333334,385.9241379306748
6155a3245b822b1157793049,Animal,Ph2,Rew,0.2666666666666667,1.3733841251676997,0.23333333333333334,460.21538461515536
6155a3245b822b1157793049,Object,Ph2,Unrew,0.3,1.465165242720083,0.23333333333333334,465.0416666660458
613a3d80394f1c5656a334a5,Object,Ph1,Rew,0.5166666666666666,2.0776692486226773,0.9333333333333333,390.8103448275802
613a3d80394f1c5656a334a5,Animal,Ph1,Unrew,0.4022988505747127,1.8099903039192728,0.8333333333333334,421.469230769229
613a3d80394f1c5656a334a5,Object,Ph2,Rew,0.18333333333333335,1.144016285705814,0.8333333333333334,483.857692307721
613a3d80394f1c5656a334a5,Animal,Ph2,Unrew,0.20229885057471264,1.1247704077217493,0.9,462.5962962962825
