,UserID,Rew_Subgroup,Sex,Age,Reward_Category,Stim,Stim_Type,Certainty,Memory_RT,Category,Memory_Correct,Phase,img_or_word,Match_RT,Match_Correct
36,60cf9343d7f9684b8c357847,Object,SexFemale,21,-1,buta,old_img,2.0,1320.3999999761581,Animal,1.0,2,img,1793.1999999955297,0.0
37,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,supana,old_img,2.0,2477.2000000178814,Object,1.0,2,img,1423.3000000044703,0.0
38,60cf9343d7f9684b8c357847,Object,SexFemale,21,-1,dacho,old_img,3.0,1665.300000011921,Animal,0.0,2,img,1527.5,0.0
39,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,boshi,old_img,3.0,1519.7000000178814,Object,0.0,2,img,1742.1000000014901,0.0
40,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,saifu,old_img,4.0,2865.7000000178814,Object,0.0,2,img,1571.7000000029802,1.0
41,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,denchi,old_img,3.0,953.5,Object,0.0,2,img,1597.8000000044703,0.0
42,60cf9343d7f9684b8c357847,Object,SexFemale,21,-1,tonbo,old_img,3.0,973.0,Animal,0.0,2,img,1619.3999999985099,0.0
43,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,efude,old_img,3.0,1500.5,Object,0.0,2,img,1339.1000000014901,0.0
44,60cf9343d7f9684b8c357847,Object,SexFemale,21,-1,uma,old_img,1.0,1587.0,Animal,1.0,2,img,1154.5,0.0
45,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,omocha,old_img,1.0,1666.7000000178814,Object,1.0,2,img,1394.3000000044703,0.0
46,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,kutsu,old_img,1.0,2519.4000000059605,Object,1.0,2,img,2666.0,0.0
47,60cf9343d7f9684b8c357847,Object,SexFemale,21,-1,kani,old_img,2.0,1290.699999988079,Animal,1.0,2,img,1259.5,1.0
48,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,hasami,old_img,0.0,1142.0,Object,1.0,2,img,1531.5,1.0
49,60cf9343d7f9684b8c357847,Object,SexFemale,21,-1,ari,old_img,0.0,1527.0,Animal,1.0,2,img,1668.3000000044703,0.0
50,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,penchi,old_img,2.0,1571.4000000059605,Object,1.0,2,img,1530.2000000029802,1.0
51,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,hon,old_img,5.0,1151.7000000178814,Object,0.0,2,img,1613.8999999985099,0.0
52,60cf9343d7f9684b8c357847,Object,SexFemale,21,-1,shika,old_img,2.0,1804.699999988079,Animal,1.0,2,img,1322.7000000029802,0.0
53,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,denkyu,old_img,4.0,1271.800000011921,Object,0.0,2,img,1366.8999999985099,0.0
54,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,menbo,old_img,5.0,1697.3999999761581,Object,0.0,2,img,1602.0,1.0
55,60cf9343d7f9684b8c357847,Object,SexFemale,21,-1,komori,old_img,3.0,1617.300000011921,Animal,0.0,2,img,1417.1000000014901,1.0
56,60cf9343d7f9684b8c357847,Object,SexFemale,21,1,kokuban,old_img,5.0,1684.7999999821186,Object,0.0,2,img,1179.7000000029802,0.0
57,60cf9343d7f9684b8c357847,Object,SexFemale,21,-1,ondori,old_img,3.0,2993.5999999940395,Animal,0.0,2,img,1367.1999999955297,0.0
58,60cf9343d7f9684b8c357847,Object,SexFemale,21,-1,tokage,old_img,1.0,1648.4000000059605,Animal,1.0,2,img,1183.2000000029802,1.0
